Code,Description,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Colour,Standard Qty,Type,remark
Z01A2712,245mm Dia x 345mm 6000W 400V(2PH) Mica Heater Band + 100cm L,245mm,Dia,x,345mm,6000W,400V(2PH),Mica,Heater,Band,+,100cm,L,,,,,,-,1,-,-
Z01A2713,105mm Dia x 90mm 700W 400V(2PH) Mica Heater Band,105mm,Dia,x,90mm,700W,400V(2PH),Mica,Heater,Band,,,,,,,,,-,1,-,-
Z01A2714,120mm Dia x 50mm 650W 240V Mica Heater Band + 100cm Lead,120mm,Dia,x,50mm,650W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2715,60mm Dia x 30mm 200W 240V Mica Heater Band + 100cm Lead,60mm,Dia,x,30mm,200W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2716,120mm Dia x 50mm 650W 240V Mica Heater Band + 100cm Lead,120mm,Dia,x,50mm,650W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2717,60mm Dia x 30mm 200W 240V Mica Heater Band + 100cm Lead,60mm,Dia,x,30mm,200W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2718,90mm Dia x 115mm 1100W 240V Mica Heater Band + 100cm Lead,90mm,Dia,x,115mm,1100W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2719,50mm Dia x 30mm 250W 240V Mica Heater Band + 100cm Lead,50mm,Dia,x,30mm,250W,240V,Mica,Heater,Band,+,100cm,Lead,,,,,,-,1,-,-
Z01A2725,Cable Tie 165mm x 2.5mm Black,Cable,Tie,165mm,x,2.5mm,Black,,,,,,,,,,,,-,1,-,-
Z01A2729,75% Tpe 25% Polypropylene Material per Kg,75%,Tpe,25%,Polypropylene,Material,per,Kg,,,,,,,,,,,-,1,-,-
Z01A2731,Green Polycarbonate Colour No: 02561 Material Per Kg,Green,Polycarbonate,Colour,No:,02561,Material,Per,Kg,,,,,,,,,,-,1,-,-
